member_id,status,sex,date_of_birth,annual_pension,normal_retirement_age
M0561,deferred,M,1978-04-13,594.37,65
M0562,deferred,M,1979-04-26,3329.61,65
M0563,deferred,F,1963-09-15,3375.95,65
M0564,deferred,M,1962-12-18,1819.33,65
M0565,deferred,M,1979-07-05,29911.35,65
M0566,deferred,F,1965-10-17,3297.58,65
M0567,deferred,M,1973-03-06,2424.94,65
M0568,deferred,M,1970-03-11,3582.74,65
M0569,deferred,M,1969-05-07,577.08,65
M0570,deferred,M,1965-08-11,1766.29,65
M0571,deferred,M,1971-12-29,8479.73,65
M0572,deferred,F,1962-09-13,1987.17,65
M0573,deferred,M,1970-05-28,1659.93,65
M0574,deferred,F,1968-03-14,11374.07,65
M0575,deferred,F,1978-05-27,11693.02,65
M0576,deferred,M,1969-04-13,5573.67,65
M0577,deferred,M,1967-07-31,2323.69,65
M0578,deferred,M,1978-04-30,2821.42,65
M0579,deferred,F,1963-11-27,1697.28,65
M0580,deferred,M,1970-07-24,1429.7,65
M0581,deferred,F,1965-04-20,1367.23,65
M0582,deferred,F,1976-05-17,2006.74,65
M0583,deferred,F,1962-09-10,1379.21,65
M0584,deferred,F,1973-03-09,856.78,65
M0585,deferred,F,1971-02-20,4264.08,65
M0586,deferred,F,1964-04-26,4322.78,65
M0587,deferred,F,1978-11-08,16175.16,65
M0588,deferred,F,1979-07-09,1917.95,65
M0589,deferred,F,1973-12-11,4568.81,65
M0590,deferred,F,1966-10-12,4637.63,65
M0591,deferred,M,1981-11-20,2785.17,65
M0592,deferred,F,1966-10-21,6839.15,65
M0593,deferred,M,1976-10-16,7031.99,65
M0594,deferred,F,1975-04-26,4699.39,65
M0595,deferred,M,1977-04-28,2780.66,65
M0596,deferred,F,1972-08-15,2537.01,65
M0597,deferred,F,1966-01-21,1022.02,65
M0598,deferred,F,1977-12-20,1694.58,65
M0599,deferred,M,1977-05-12,1999.62,65
M0600,deferred,F,1977-05-08,1272.76,65
M0601,deferred,F,1971-02-02,5200.19,65
M0602,deferred,F,1976-06-07,10275.15,65
M0603,deferred,F,1973-08-28,1545.75,65
M0604,deferred,F,1963-02-06,4517.06,65
M0605,deferred,F,1978-04-15,1379.97,65
M0606,deferred,M,1972-11-12,2660.02,65
M0607,deferred,F,1971-12-09,1880.37,65
M0608,deferred,M,1979-06-23,6016.28,65
M0609,deferred,F,1972-12-16,1900.0,65
M0610,deferred,F,1972-07-13,8699.43,65
M0611,deferred,M,1964-08-03,2805.59,65
M0612,deferred,M,1964-02-13,1950.57,65
M0613,deferred,M,1974-11-16,1132.91,65
M0614,deferred,F,1974-01-25,4395.79,65
M0615,deferred,M,1967-12-03,7833.89,65
M0616,deferred,M,1976-08-31,4476.1,65
M0617,deferred,F,1968-06-13,26251.19,65
M0618,deferred,M,1973-03-09,12674.24,65
M0619,deferred,F,1979-05-11,2653.79,65
M0620,deferred,M,1979-04-08,2628.83,65
M0621,deferred,M,1973-08-31,5341.41,65
M0622,deferred,M,1976-03-01,1646.33,65
M0623,deferred,M,1970-07-13,9998.37,65
M0624,deferred,M,1979-12-21,4846.24,65
M0625,deferred,F,1963-07-26,4408.68,65
M0626,deferred,M,1978-05-11,6494.93,65
M0627,deferred,M,1972-09-18,16499.17,65
M0628,deferred,M,1976-09-02,4082.15,65
M0629,deferred,M,1970-09-10,3161.44,65
M0630,deferred,F,1979-03-23,13607.36,65
M0631,deferred,M,1973-10-30,8360.84,65
M0632,deferred,F,1969-06-03,2621.85,65
M0633,deferred,M,1979-08-18,3516.38,65
M0634,deferred,M,1977-06-21,4172.88,65
M0635,deferred,M,1975-01-01,4847.17,65
M0636,deferred,M,1982-07-28,1032.33,65
M0637,deferred,F,1975-07-12,873.3,65
M0638,deferred,M,1971-09-27,1574.77,65
M0639,deferred,M,1975-05-15,1468.88,65
M0640,deferred,F,1974-06-21,1960.74,65
M0641,deferred,F,1972-09-16,6196.61,65
M0642,deferred,F,1977-02-28,3006.35,65
M0643,deferred,F,1967-09-25,4176.69,65
M0644,deferred,F,1975-10-27,1162.87,65
M0645,deferred,F,1969-03-04,2310.09,65
M0646,deferred,F,1974-04-01,5937.54,65
M0647,deferred,M,1970-01-05,5978.8,65
M0648,deferred,F,1969-01-03,1823.3,65
M0649,deferred,M,1969-05-23,4048.15,65
M0650,deferred,F,1963-12-10,25323.33,65
M0651,deferred,F,1974-02-14,3445.0,65
M0652,deferred,M,1965-08-07,1875.54,65
M0653,deferred,F,1977-05-26,2993.3,65
M0654,deferred,F,1982-12-20,3802.74,65
M0655,deferred,M,1971-08-01,3054.79,65
M0656,deferred,M,1974-04-01,3402.61,65
M0657,deferred,F,1963-07-25,954.72,65
M0658,deferred,F,1981-07-11,1471.67,65
M0659,deferred,M,1979-10-18,3059.84,65
M0660,deferred,M,1973-01-05,3016.27,65
M0661,deferred,F,1975-02-17,2102.64,65
M0662,deferred,M,1962-10-11,2984.56,65
M0663,deferred,M,1965-11-21,3697.57,65
M0664,deferred,M,1969-02-07,7793.07,65
M0665,deferred,M,1971-07-21,3201.03,65
M0666,deferred,F,1969-10-26,5012.61,65
M0667,deferred,F,1978-08-09,2149.69,65
M0668,deferred,F,1966-07-27,5857.07,65
M0669,deferred,F,1980-05-09,4908.26,65
M0670,deferred,M,1966-09-21,7629.32,65
M0671,deferred,M,1964-04-07,6651.73,65
M0672,deferred,M,1971-02-04,5945.44,65
M0673,deferred,M,1973-10-21,3203.32,65
M0674,deferred,M,1969-10-08,4363.21,65
M0675,deferred,M,1970-06-15,9115.0,65
M0676,deferred,M,1973-05-13,1946.23,65
M0677,deferred,M,1972-12-03,1988.13,65
M0678,deferred,F,1967-08-17,4120.82,65
M0679,deferred,F,1973-02-03,5086.12,65
M0680,deferred,F,1980-07-20,1667.07,65
M0681,deferred,F,1973-07-24,3272.25,65
M0682,deferred,F,1972-02-05,3216.08,65
M0683,deferred,M,1971-10-07,476.64,65
M0684,deferred,F,1971-06-09,2872.34,65
M0685,deferred,M,1965-04-18,3037.93,65
M0686,deferred,M,1980-03-04,3029.81,65
M0687,deferred,M,1971-05-05,12516.98,65
M0688,deferred,M,1963-07-17,1171.8,65
M0689,deferred,M,1971-04-25,1666.3,65
M0690,deferred,F,1976-09-01,333.47,65
M0691,deferred,F,1975-03-02,2270.36,65
M0692,deferred,F,1978-11-26,2451.46,65
M0693,deferred,F,1973-10-03,2211.75,65
M0694,deferred,M,1981-06-03,9484.63,65
M0695,deferred,M,1980-10-03,7593.7,65
M0696,deferred,F,1981-09-07,3754.05,65
M0697,deferred,M,1975-10-22,2507.31,65
M0698,deferred,M,1972-10-01,8813.93,65
M0699,deferred,M,1975-05-23,3438.31,65
M0700,deferred,F,1979-03-08,1675.85,65
M0701,deferred,F,1974-03-20,746.87,65
M0702,deferred,M,1962-10-29,2352.74,65
M0703,deferred,F,1978-07-17,6902.9,65
M0704,deferred,M,1968-01-14,27157.35,65
M0705,deferred,M,1978-05-23,3699.55,65
M0706,deferred,M,1965-06-07,1757.59,65
M0707,deferred,M,1964-06-13,1204.78,65
M0708,deferred,F,1965-04-01,5751.85,65
M0709,deferred,M,1975-11-10,715.06,65
M0710,deferred,F,1973-09-26,5743.53,65
M0711,deferred,M,1967-04-28,7306.05,65
M0712,deferred,F,1969-10-30,5183.16,65
M0713,deferred,F,1975-04-29,2872.17,65
M0714,deferred,F,1971-10-10,5819.47,65
M0715,deferred,F,1965-01-06,4082.08,65
M0716,deferred,F,1980-12-14,1737.51,65
M0717,deferred,M,1968-02-06,18506.72,65
M0718,deferred,F,1970-04-01,2550.4,65
M0719,deferred,F,1967-04-27,7035.3,65
M0720,deferred,M,1966-06-20,396.93,65
M0721,deferred,M,1977-06-07,11040.68,65
M0722,deferred,M,1976-04-21,13126.73,65
M0723,deferred,M,1966-05-07,3595.25,65
M0724,deferred,M,1976-05-13,5787.25,65
M0725,deferred,M,1977-06-05,5785.92,65
M0726,deferred,F,1966-10-16,1962.58,65
M0727,deferred,M,1967-03-08,5726.89,65
M0728,deferred,F,1965-10-18,1690.45,65
M0729,deferred,M,1968-07-14,2023.61,65
M0730,deferred,F,1974-04-13,9650.52,65
M0731,deferred,M,1973-09-19,8414.49,65
M0732,deferred,M,1975-07-25,1853.41,65
M0733,deferred,M,1968-09-05,1808.58,65
M0734,deferred,F,1975-10-26,1957.61,65
M0735,deferred,M,1969-04-24,6767.55,65
M0736,deferred,F,1979-08-25,1423.01,65
M0737,deferred,M,1977-03-13,4824.97,65
M0738,deferred,F,1969-01-23,6854.64,65
M0739,deferred,M,1965-02-09,3232.78,65
M0740,deferred,F,1969-11-16,8686.94,65
M0741,deferred,M,1971-11-28,2661.48,65
M0742,deferred,M,1972-06-29,2887.22,65
M0743,deferred,M,1972-12-18,1452.43,65
M0744,deferred,M,1976-08-09,8742.73,65
M0745,deferred,M,1975-09-19,1755.75,65
M0746,deferred,F,1973-05-01,4794.92,65
M0747,deferred,M,1978-01-26,3282.41,65
M0748,deferred,M,1976-03-08,1356.98,65
M0749,deferred,F,1964-11-13,2022.98,65
M0750,deferred,M,1967-11-04,12150.23,65
M0751,deferred,M,1968-08-24,4196.52,65
M0752,deferred,F,1974-05-16,1411.32,65
M0753,deferred,F,1968-07-22,4606.91,65
M0754,deferred,F,1977-01-27,3068.72,65
M0755,deferred,M,1974-05-22,78367.14,65
M0756,deferred,F,1965-10-12,4523.9,65
M0757,deferred,M,1966-06-14,2484.82,65
M0758,deferred,F,1979-06-11,12563.4,65
M0759,deferred,F,1978-07-23,667.53,65
M0760,deferred,F,1971-10-23,3810.08,65
M0761,deferred,M,1970-08-15,21067.86,65
M0762,deferred,M,1982-03-15,3152.46,65
M0763,deferred,F,1977-01-04,735.5,65
M0764,deferred,M,1975-02-14,2450.85,65
M0765,deferred,M,1975-07-07,12959.5,65
M0766,deferred,F,1976-04-22,4909.76,65
M0767,deferred,F,1972-07-09,1645.09,65
M0768,deferred,M,1976-04-26,1888.99,65
M0769,deferred,M,1982-10-22,2114.95,65
M0770,deferred,M,1967-02-10,4844.49,65
M0771,deferred,M,1967-04-20,11671.38,65
M0772,deferred,M,1966-09-01,9024.51,65
M0773,deferred,F,1983-05-10,5276.03,65
M0774,deferred,F,1970-06-24,1055.78,65
M0775,deferred,M,1967-11-03,1059.32,65
M0776,deferred,M,1979-10-16,5655.85,65
M0777,deferred,F,1972-07-04,1042.73,65
M0778,deferred,F,1973-05-20,2856.94,65
M0779,deferred,F,1978-12-23,4602.03,65
M0780,deferred,M,1965-09-15,1257.25,65
M0781,deferred,F,1965-10-11,1392.26,65
M0782,deferred,M,1979-07-17,3215.73,65
M0783,deferred,M,1969-02-12,5507.16,65
M0784,deferred,F,1973-04-28,9098.68,65
M0785,deferred,M,1968-09-09,6044.27,65
M0786,deferred,M,1970-12-15,3739.88,65
M0787,deferred,M,1964-03-12,1788.16,65
M0788,deferred,M,1972-01-16,1335.02,65
M0789,deferred,M,1973-09-29,2209.96,65
M0790,deferred,F,1964-11-24,5061.71,65
M0791,deferred,M,1968-07-04,4738.52,65
M0792,deferred,M,1967-06-13,528.8,65
M0793,deferred,F,1977-03-22,1725.74,65
M0794,deferred,M,1979-11-20,10348.27,65
M0795,deferred,F,1976-07-18,3758.64,65
M0796,deferred,M,1976-11-30,977.71,65
M0797,deferred,F,1967-01-25,29165.95,65
M0798,deferred,M,1965-09-27,3410.01,65
M0799,deferred,F,1973-08-28,4946.42,65
M0800,deferred,M,1962-12-28,5014.51,65
M0801,deferred,F,1970-11-13,2514.13,65
M0802,deferred,M,1978-04-28,1818.38,65
M0803,deferred,F,1972-12-30,23624.17,65
M0804,deferred,M,1971-09-08,8633.49,65
M0805,deferred,M,1974-12-12,7333.89,65
M0806,deferred,M,1978-10-19,5879.21,65
M0807,deferred,M,1982-11-07,1418.75,65
M0808,deferred,M,1968-02-21,11051.21,65
M0809,deferred,F,1978-01-20,1638.77,65
M0810,deferred,M,1980-03-04,4516.43,65
M0811,deferred,M,1981-05-16,800.36,65
M0812,deferred,M,1968-12-31,557.66,65
M0813,deferred,M,1972-02-13,4660.98,65
M0814,deferred,M,1968-07-25,1689.74,65
M0815,deferred,F,1977-04-24,584.21,65
M0816,deferred,M,1980-02-01,5693.42,65
M0817,deferred,F,1971-10-02,23590.3,65
M0818,deferred,M,1981-10-29,12223.58,65
M0819,deferred,M,1976-04-30,2776.46,65
M0820,deferred,F,1978-05-22,3527.97,65
M0821,deferred,M,1969-10-17,7781.11,65
M0822,deferred,M,1970-06-07,9608.79,65
M0823,deferred,F,1966-04-25,2569.16,65
M0824,deferred,F,1967-04-21,3609.33,65
M0825,deferred,F,1964-08-01,4587.41,65
M0826,deferred,M,1972-08-01,5761.81,65
M0827,deferred,F,1970-06-12,3104.94,65
M0828,deferred,F,1968-12-27,3141.46,65
M0829,deferred,F,1971-07-31,12117.03,65
M0830,deferred,M,1975-05-09,10395.07,65
M0831,deferred,M,1974-11-24,5378.62,65
M0832,deferred,M,1978-04-17,16444.01,65
M0833,deferred,M,1969-08-14,2471.84,65
M0834,deferred,F,1973-03-24,15081.05,65
M0835,deferred,M,1977-03-19,5703.2,65
M0836,deferred,M,1977-03-16,66465.73,65
M0837,deferred,M,1981-01-16,1196.65,65
M0838,deferred,M,1965-09-19,1882.03,65
M0839,deferred,M,1972-01-08,5102.25,65
M0840,deferred,M,1978-08-11,5004.18,65
M0841,deferred,M,1966-11-29,20244.6,65
M0842,deferred,F,1976-06-29,1917.89,65
M0843,deferred,M,1982-06-01,7902.58,65
M0844,deferred,M,1965-06-03,9964.01,65
M0845,deferred,M,1976-04-30,6599.18,65
M0846,deferred,M,1975-06-07,1473.83,65
M0847,deferred,M,1972-04-13,12425.44,65
M0848,deferred,M,1964-07-28,10582.01,65
M0849,deferred,M,1972-06-06,6003.78,65
M0850,deferred,M,1980-12-18,4206.69,65
M0851,active,F,1969-03-19,1870.88,65
M0852,active,M,1971-01-16,4131.78,65
M0853,active,F,1966-09-22,1304.99,65
M0854,active,M,1970-05-20,3200.32,65
M0855,active,F,1975-08-30,23566.35,65
M0856,active,F,1976-11-10,11503.72,65
M0857,active,F,1975-01-31,9470.32,65
M0858,active,F,1969-03-28,3244.43,65
M0859,active,F,1970-09-25,2007.65,65
M0860,active,M,1969-04-12,2869.68,65
M0861,active,M,1967-07-26,7694.86,65
M0862,active,M,1974-05-02,17475.51,65
M0863,active,F,1972-03-05,18021.62,65
M0864,active,F,1973-03-03,14111.54,65
M0865,active,F,1967-09-04,4119.12,65
M0866,active,F,1981-08-03,8178.73,65
M0867,active,M,1975-04-25,5990.85,65
M0868,active,F,1964-09-06,6675.01,65
M0869,active,F,1980-12-29,50041.7,65
M0870,active,M,1963-11-12,1638.27,65
M0871,active,M,1972-10-14,6476.84,65
M0872,active,M,1968-10-26,23807.85,65
M0873,active,M,1963-11-09,2138.57,65
M0874,active,F,1973-05-15,4482.0,65
M0875,active,F,1965-05-13,4969.44,65
M0876,active,F,1974-08-06,6543.56,65
M0877,active,M,1973-06-08,1902.33,65
M0878,active,F,1975-05-14,13669.94,65
M0879,active,F,1968-07-07,14571.97,65
M0880,active,M,1963-08-16,12641.43,65
M0881,active,F,1971-09-04,3655.03,65
M0882,active,M,1978-03-13,8647.77,65
M0883,active,M,1977-01-24,3560.66,65
M0884,active,M,1968-03-15,5930.48,65
M0885,active,M,1968-03-17,55565.51,65
M0886,active,F,1972-11-21,8719.55,65
M0887,active,M,1965-12-21,2747.43,65
M0888,active,M,1972-01-03,9409.72,65
M0889,active,M,1972-11-03,2369.85,65
M0890,active,M,1976-04-27,2719.18,65
M0891,active,M,1965-10-13,3134.38,65
M0892,active,M,1973-05-09,5363.21,65
M0893,active,F,1973-01-12,18591.67,65
M0894,active,M,1974-11-09,13463.74,65
M0895,active,F,1974-08-26,12808.86,65
M0896,active,M,1971-05-09,2975.49,65
M0897,active,F,1968-02-02,4914.84,65
M0898,active,F,1973-03-22,10218.94,65
M0899,active,M,1980-01-06,4544.66,65
M0900,active,M,1975-10-07,6227.11,65
M0901,active,F,1962-11-18,11901.5,65
M0902,active,M,1970-02-14,5844.76,65
M0903,active,F,1967-11-12,9805.03,65
M0904,active,M,1972-02-20,33545.31,65
M0905,active,M,1974-07-12,6853.56,65
M0906,active,F,1971-09-13,23123.41,65
M0907,active,F,1973-03-25,13235.13,65
M0908,active,M,1963-12-29,2135.98,65
M0909,active,F,1974-11-27,2966.9,65
M0910,active,F,1974-02-20,3778.04,65
M0911,active,M,1970-07-05,3706.51,65
M0912,active,M,1970-07-27,7375.63,65
M0913,active,M,1969-01-05,13910.18,65
M0914,active,M,1968-07-21,24756.4,65
M0915,active,F,1968-08-11,10557.11,65
M0916,active,M,1970-05-05,5356.6,65
M0917,active,M,1970-04-23,1228.05,65
M0918,active,F,1969-02-04,8524.74,65
M0919,active,F,1970-09-28,8187.71,65
M0920,active,F,1970-11-20,9431.71,65
M0921,active,F,1966-11-22,53253.2,65
M0922,active,M,1973-10-27,24434.07,65
M0923,active,F,1976-04-03,16215.97,65
M0924,active,M,1974-11-12,3365.49,65
M0925,active,M,1969-12-20,5041.71,65
M0926,active,M,1979-07-18,7345.45,65
M0927,active,F,1969-11-14,3981.17,65
M0928,active,F,1976-03-03,12551.74,65
M0929,active,M,1973-03-23,11030.45,65
M0930,active,F,1964-04-19,3004.06,65
M0931,active,F,1967-09-27,23490.04,65
M0932,active,M,1967-02-28,8771.61,65
M0933,active,F,1981-03-13,1687.55,65
M0934,active,M,1977-09-21,7638.74,65
M0935,active,F,1964-06-10,10303.95,65
M0936,active,M,1967-02-08,19200.85,65
M0937,active,M,1975-09-13,5904.49,65
M0938,active,M,1969-08-29,16853.97,65
M0939,active,M,1973-05-25,9467.54,65
M0940,active,F,1970-05-25,2449.52,65
M0941,active,M,1972-01-26,2238.47,65
M0942,active,M,1982-10-20,21971.48,65
M0943,active,F,1963-11-03,23472.45,65
M0944,active,F,1971-01-21,10698.03,65
M0945,active,F,1973-06-24,30740.4,65
M0946,active,M,1973-12-06,20705.31,65
M0947,active,M,1968-06-02,14801.19,65
M0948,active,M,1975-12-07,3522.82,65
M0949,active,F,1968-02-16,38005.37,65
M0950,active,F,1967-06-16,12963.18,65
M0951,active,F,1971-10-08,5653.0,65
M0952,active,F,1977-06-16,4384.16,65
M0953,active,M,1970-01-14,10079.94,65
M0954,active,F,1979-05-11,1778.0,65
M0955,active,M,1976-09-25,15016.47,65
M0956,active,M,1975-01-28,3391.35,65
M0957,active,M,1965-07-04,11167.29,65
M0958,active,M,1972-09-29,5002.73,65
M0959,active,F,1973-04-04,6305.77,65
M0960,active,M,1968-06-15,4048.0,65
M0961,active,F,1968-07-15,6919.44,65
M0962,active,F,1972-10-15,43810.92,65
M0963,active,F,1974-02-23,27826.68,65
M0964,active,F,1964-10-04,11006.35,65
M0965,active,M,1967-11-18,7819.94,65
M0966,active,M,1971-08-24,17102.47,65
M0967,active,M,1971-05-24,22118.51,65
M0968,active,M,1966-02-25,3790.91,65
M0969,active,F,1979-11-25,7461.43,65
M0970,active,M,1974-02-09,1552.21,65
M0971,active,M,1977-05-22,21982.21,65
M0972,active,M,1965-04-26,51313.99,65
M0973,active,M,1979-08-27,8597.88,65
M0974,active,F,1971-05-14,1181.67,65
M0975,active,M,1973-05-28,13838.34,65
M0976,active,F,1978-07-08,3545.79,65
M0977,active,F,1968-09-11,4403.62,65
M0978,active,F,1967-09-21,14060.37,65
M0979,active,M,1974-09-21,10059.73,65
M0980,active,F,1966-03-28,5155.91,65
M0981,active,M,1972-11-07,4458.43,65
M0982,active,M,1972-04-08,8959.32,65
M0983,active,F,1966-11-26,5534.06,65
M0984,active,F,1980-05-05,2948.0,65
M0985,active,M,1969-06-23,5930.66,65
M0986,active,F,1962-11-19,10859.88,65
M0987,active,M,1977-01-08,6815.15,65
M0988,active,F,1976-02-10,2241.81,65
M0989,active,F,1977-07-17,19484.12,65
M0990,active,F,1969-01-25,680.12,65
M0991,active,F,1970-03-05,5353.3,65
M0992,active,F,1973-05-10,4578.0,65
M0993,active,F,1976-08-27,9141.3,65
M0994,active,F,1978-03-03,13262.46,65
M0995,active,F,1970-11-11,22054.79,65
M0996,active,M,1973-05-13,4213.43,65
M0997,active,F,1974-09-07,13563.27,65
M0998,active,M,1971-01-24,9541.76,65
M0999,active,F,1962-12-13,1714.39,65
M1000,active,M,1973-10-08,44253.2,65
